Date,BA,BTC=USD,DJI,EURUSD=X,GC=F,MSFT
2015-04-13 00:00:00+00:00,153.24000549316406,,17977.0,1.060985445976257,1199.300048828125,41.7599983215332
2015-04-14 00:00:00+00:00,153.2100067138672,,18036.69921875,1.0572947263717651,1192.800048828125,41.650001525878906
2015-04-15 00:00:00+00:00,152.42999267578125,,18112.599609375,1.0647132396697998,1201.5,42.2599983215332
2015-04-16 00:00:00+00:00,151.97000122070312,,18105.80078125,1.0676802396774292,1198.0,42.15999984741211
2015-04-17 00:00:00+00:00,149.60000610351562,,17826.30078125,1.0755579471588137,1202.9000244140625,41.619998931884766
2015-04-20 00:00:00+00:00,152.6699981689453,,18034.900390625,1.0810226202011108,1193.5,42.90999984741211
2015-04-21 00:00:00+00:00,153.3300018310547,,17949.599609375,1.0747487545013428,1202.9000244140625,42.63999938964844
2015-04-22 00:00:00+00:00,151.19000244140625,,18038.30078125,1.074171543121338,1186.9000244140625,42.9900016784668
2015-04-23 00:00:00+00:00,149.8699951171875,,18058.69921875,1.0725815296173096,1194.4000244140625,43.34000015258789
2015-04-24 00:00:00+00:00,148.39999389648438,,18080.099609375,1.0815019607543943,1175.199951171875,47.869998931884766
2015-04-27 00:00:00+00:00,147.8000030517578,,18038.0,1.086897373199463,1203.300048828125,48.02999877929688
2015-04-28 00:00:00+00:00,147.50999450683594,,18110.099609375,1.087795972824097,1214.0,49.15999984741211
2015-04-29 00:00:00+00:00,146.14999389648438,,18035.5,1.096912145614624,1209.800048828125,49.060001373291016
2015-04-30 00:00:00+00:00,143.33999633789062,,17840.5,1.1114321947097778,1182.4000244140625,48.63999938964844
2015-05-01 00:00:00+00:00,144.6699981689453,,18024.099609375,1.1214659214019775,1174.5,48.65999984741211
2015-05-04 00:00:00+00:00,144.02000427246094,,18070.400390625,1.1185932159423828,1186.800048828125,48.2400016784668
2015-05-05 00:00:00+00:00,142.91000366210938,,17928.19921875,1.1149141788482666,1193.199951171875,47.59999847412109
2015-05-06 00:00:00+00:00,141.0399932861328,,17842.0,1.1186307668685913,1190.300048828125,46.27999877929688
2015-05-07 00:00:00+00:00,141.49000549316406,,17924.099609375,1.1341469287872314,1182.4000244140625,46.70000076293945
2015-05-08 00:00:00+00:00,145.4600067138672,,18191.099609375,1.1246949434280396,1189.0999755859375,47.75
2015-05-11 00:00:00+00:00,145.88999938964844,,18105.19921875,1.1194071769714355,1183.199951171875,47.369998931884766
2015-05-12 00:00:00+00:00,145.42999267578125,,18068.19921875,1.114441990852356,1192.5999755859375,47.34999847412109
2015-05-13 00:00:00+00:00,145.6199951171875,,18060.5,1.1221455335617063,1218.4000244140625,47.630001068115234
2015-05-14 00:00:00+00:00,147.9600067138672,,18252.19921875,1.1350480318069458,1225.4000244140625,48.720001220703125
2015-05-15 00:00:00+00:00,146.8800048828125,,18272.599609375,1.1404979228973389,1225.5,48.29999923706055
2015-05-18 00:00:00+00:00,146.7100067138672,,18298.900390625,1.144505262374878,1227.800048828125,48.0099983215332
2015-05-19 00:00:00+00:00,147.0500030517578,,18312.400390625,1.1326183080673218,1206.9000244140625,47.58000183105469
2015-05-20 00:00:00+00:00,146.4199981689453,,18285.400390625,1.1146656274795532,1208.9000244140625,47.58000183105469
2015-05-21 00:00:00+00:00,147.35000610351562,,18285.69921875,1.1100751161575315,1204.4000244140625,47.41999816894531
2015-05-22 00:00:00+00:00,144.80999755859375,,18232.0,1.1111851930618286,1204.300048828125,46.900001525878906
2015-05-25 00:00:00+00:00,,,,1.0992997884750366,,
2015-05-26 00:00:00+00:00,142.8000030517578,,18041.5,1.0971167087554932,1187.199951171875,46.59000015258789
2015-05-27 00:00:00+00:00,143.0,,18163.0,1.08888578414917,1185.9000244140625,47.61000061035156
2015-05-28 00:00:00+00:00,142.3300018310547,,18126.099609375,1.0900014638900757,1188.0999755859375,47.45000076293945
2015-05-29 00:00:00+00:00,140.52000427246094,,18010.69921875,1.0960345268249512,1189.4000244140625,46.86000061035156
2015-06-01 00:00:00+00:00,141.25,,18040.400390625,1.0957943201065063,1188.300048828125,47.22999954223633
2015-06-02 00:00:00+00:00,143.25,,18011.900390625,1.0922993421554563,1194.0999755859375,46.91999816894531
2015-06-03 00:00:00+00:00,143.80999755859375,,18076.30078125,1.115001201629639,1184.699951171875,46.84999847412109
2015-06-04 00:00:00+00:00,141.19000244140625,,17905.599609375,1.1257838010787964,1174.9000244140625,46.36000061035156
2015-06-05 00:00:00+00:00,140.72999572753906,,17849.5,1.120787262916565,1167.800048828125,46.13999938964844
2015-06-08 00:00:00+00:00,140.63999938964844,,17766.599609375,1.110814929008484,1173.199951171875,45.72999954223633
2015-06-09 00:00:00+00:00,140.10000610351562,,17764.0,1.128095269203186,1177.300048828125,45.650001525878906
2015-06-10 00:00:00+00:00,141.6199951171875,,18000.400390625,1.1299052238464355,1186.0999755859375,46.61000061035156
2015-06-11 00:00:00+00:00,142.9600067138672,,18039.400390625,1.131196141242981,1179.9000244140625,46.43999862670898
2015-06-12 00:00:00+00:00,142.8000030517578,,17898.80078125,1.1240627765655518,1178.800048828125,45.970001220703125
2015-06-15 00:00:00+00:00,142.2899932861328,,17791.19921875,1.1219944953918457,1185.300048828125,45.47999954223633
2015-06-16 00:00:00+00:00,142.33999633789062,,17904.5,1.1277008056640625,1180.5,45.83000183105469
2015-06-17 00:00:00+00:00,143.42999267578125,,17935.69921875,1.124201774597168,1176.4000244140625,45.970001220703125
